date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:17:42	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-651c1406-2c6216962d9e0f54;gz%22	https://agameritrade.com/robots.txt		(from )
02:17:42	33255/33255	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2001:17:48%20GMT	https://agameritrade.com/	C:/My%20Web%20Sites/OG/agameritrade.com/index.html	(from )
02:17:44	108020/108020	---M--	200	added ('OK')	font/woff2	etag:%221a5f4-65672770-9759add26d2885c2;;;%22	https://agameritrade.com/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/OG/agameritrade.com/fonts/fa-brands-400.woff2	(from https://agameritrade.com/)
02:17:47	16800/16800	---M--	200	added ('OK')	font/woff2	etag:%2241a0-65672770-8406b910cd258b9;;;%22	https://agameritrade.com/fonts/mulish-v3-latin-300.woff2	C:/My%20Web%20Sites/OG/agameritrade.com/fonts/mulish-v3-latin-300.woff2	(from https://agameritrade.com/)
02:17:47	150124/150124	---M--	200	added ('OK')	font/woff2	etag:%2224a6c-65672770-f157b11b912396ba;;;%22	https://agameritrade.com/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/OG/agameritrade.com/fonts/fa-solid-900.woff2	(from https://agameritrade.com/)
02:17:47	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-651c1406-2c6216962d9e0f54;gz%22	https://agameritrade.com/fonts/mulish-v3-latin-800.php	C:/My%20Web%20Sites/OG/agameritrade.com/fonts/mulish-v3-latin-800.4.delayed	(from https://agameritrade.com/)
02:17:48	15784/15784	---M--	200	added ('OK')	font/woff2	etag:%223da8-65672770-70148c9cfd7b8c7a;;;%22	https://agameritrade.com/fonts/roboto-v20-latin-300.woff2	C:/My%20Web%20Sites/OG/agameritrade.com/fonts/roboto-v20-latin-300.woff2	(from https://agameritrade.com/)
02:17:48	539278/539278	---M-Z	200	added ('OK')	text/css	etag:%2283a8e-65672770-62dd2169aca0a927;gz%22	https://agameritrade.com/css/style.css	C:/My%20Web%20Sites/OG/agameritrade.com/css/style.css	(from https://agameritrade.com/)
02:17:49	139152/139152	---M-Z	200	added ('OK')	application/x-javascript	etag:%2221f90-65672770-e020c1a548077a78;gz%22	https://agameritrade.com/js/vendors/uikit.min.js	C:/My%20Web%20Sites/OG/agameritrade.com/js/vendors/uikit.min.js	(from https://agameritrade.com/)
02:17:49	2967696/2967696	---M--	200	added ('OK')	image/jpeg	etag:%222d4890-65672770-4035a6768587d7b4;;;%22	https://agameritrade.com/img/mockup.jpg	C:/My%20Web%20Sites/OG/agameritrade.com/img/mockup.jpg	(from https://agameritrade.com/)
02:17:49	26005/26005	---M-Z	200	added ('OK')	application/x-javascript	etag:%226595-65672770-82c3faf53f67a37;gz%22	https://agameritrade.com/js/utilities.min.js	C:/My%20Web%20Sites/OG/agameritrade.com/js/utilities.min.js	(from https://agameritrade.com/)
02:17:49	1995/1995	---M-Z	200	added ('OK')	application/x-javascript	etag:%227cb-65672770-e9ad6943a9079c21;gz%22	https://agameritrade.com/js/config-theme.js	C:/My%20Web%20Sites/OG/agameritrade.com/js/config-theme.js	(from https://agameritrade.com/)
02:17:49	5977/5977	---M--	200	added ('OK')	image/png	etag:%221759-65672770-288d333e8e218a86;;;%22	https://agameritrade.com/img/gp-fav.png	C:/My%20Web%20Sites/OG/agameritrade.com/img/gp-fav.png	(from https://agameritrade.com/)
02:17:50	155662/155662	---M-Z	200	added ('OK')	text/css	etag:%222600e-6573aa0e-c39b1c096a26061;gz%22	https://agameritrade.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/OG/agameritrade.com/assets/css/bootstrap.min.css	(from https://agameritrade.com/)
02:17:50	59356/59356	---M-Z	200	added ('OK')	text/css	etag:%22e7dc-6573aa0e-a673b07118ac3781;gz%22	https://agameritrade.com/assets/css/all.min.css	C:/My%20Web%20Sites/OG/agameritrade.com/assets/css/all.min.css	(from https://agameritrade.com/)
02:17:50	58791/58791	---M-Z	200	added ('OK')	text/css	etag:%22e5a7-6573aa0e-49017d750cc973d6;gz%22	https://agameritrade.com/assets/css/animate.min.css	C:/My%20Web%20Sites/OG/agameritrade.com/assets/css/animate.min.css	(from https://agameritrade.com/)
02:17:51	14489/14489	---M-Z	200	added ('OK')	text/css	etag:%223899-6573aa0e-913fcd947e869eb0;gz%22	https://agameritrade.com/assets/webfonts/flaticon/flaticon.css	C:/My%20Web%20Sites/OG/agameritrade.com/assets/webfonts/flaticon/flaticon.css	(from https://agameritrade.com/)
02:17:51	3352/3352	---M-Z	200	added ('OK')	text/css	etag:%22d18-6573aa0e-3e33f364aed7461e;gz%22	https://agameritrade.com/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/OG/agameritrade.com/assets/css/owl.carousel.min.css	(from https://agameritrade.com/)
02:17:51	12795/12795	---M-Z	200	added ('OK')	text/css	etag:%2231fb-6573aa0e-dce96c861bd10f94;gz%22	https://agameritrade.com/assets/css/jquery.fancybox.min.css	C:/My%20Web%20Sites/OG/agameritrade.com/assets/css/jquery.fancybox.min.css	(from https://agameritrade.com/)
02:17:52	22782/22782	---M-Z	200	added ('OK')	text/css	etag:%2258fe-6573aa0e-ca8295f3a08cf031;gz%22	https://agameritrade.com/assets/css/layerslider.css	C:/My%20Web%20Sites/OG/agameritrade.com/assets/css/layerslider.css	(from https://agameritrade.com/)
02:17:52	143527/143527	---M-Z	200	added ('OK')	text/css	etag:%22230a7-6573aa0e-a268c6bbf725927d;gz%22	https://agameritrade.com/assets/css/template.css	C:/My%20Web%20Sites/OG/agameritrade.com/assets/css/template.css	(from https://agameritrade.com/)
02:17:52	2621/2621	---M-Z	200	added ('OK')	text/css	etag:%22a3d-657484f9-36cd52f18269bf4d;gz%22	https://agameritrade.com/assets/css/style.css	C:/My%20Web%20Sites/OG/agameritrade.com/assets/css/style.css	(from https://agameritrade.com/)
02:17:53	2407/2407	---M-Z	200	added ('OK')	text/css	etag:%22967-6573aa0e-84ec26f1f81b2b54;gz%22	https://agameritrade.com/assets/css/category/corporate-5.css	C:/My%20Web%20Sites/OG/agameritrade.com/assets/css/category/corporate-5.css	(from https://agameritrade.com/)
02:17:53	134/134	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Feb%202024%2001:17:58%20GMT	http://code.tidio.co/c1xhvhd3jjw5bql9prnozmdz2s7xlcll.js	C:/My%20Web%20Sites/OG/code.tidio.co/c1xhvhd3jjw5bql9prnozmdz2s7xlcll.15.delayed	(from https://agameritrade.com/)
02:17:56	19889/19889	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2001:18:01%20GMT	https://agameritrade.com/planning.php	C:/My%20Web%20Sites/OG/agameritrade.com/planning.html	(from https://agameritrade.com/)
02:17:58	28182/28182	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2001:18:03%20GMT	https://agameritrade.com/about.php	C:/My%20Web%20Sites/OG/agameritrade.com/about.html	(from https://agameritrade.com/)
02:17:58	21364/21364	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2001:18:03%20GMT	https://agameritrade.com/faq.php	C:/My%20Web%20Sites/OG/agameritrade.com/faq.html	(from https://agameritrade.com/)
02:17:59	21962/21962	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2001:18:04%20GMT	https://agameritrade.com/market.php	C:/My%20Web%20Sites/OG/agameritrade.com/market.html	(from https://agameritrade.com/)
02:17:59	78959/78959	---M--	200	added ('OK')	application/pdf	etag:%221346f-6566e1e3-b19f5494b00cd5ee;;;%22	https://agameritrade.com/cert.pdf	C:/My%20Web%20Sites/OG/agameritrade.com/cert.pdf	(from https://agameritrade.com/)
02:18:00	21007/21007	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2001:18:05%20GMT	https://agameritrade.com/oil.php	C:/My%20Web%20Sites/OG/agameritrade.com/oil.html	(from https://agameritrade.com/)
02:18:00	19133/19133	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2001:18:05%20GMT	https://agameritrade.com/estate-planning.php	C:/My%20Web%20Sites/OG/agameritrade.com/estate-planning.html	(from https://agameritrade.com/)
